crn,catalog_id,section,credits,title,meetings,primary_instructor
75948,SW 0402,01,3.000,Database Management Systems,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '09/01-12/07', 'location': 'BNW 334'}]",Joseph   Corcoran
76496,SW 0404,01,3.000,Network Concepts,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '09/01-12/07', 'location': 'MCA 112'}]",Raymond   Angelo
76528,SW 0406,01,3.000,Web Client Side Development I,"[{'days': 'T', 'times': '1100am-0130pm', 'dates': '09/01-12/07', 'location': 'BNW 166'}]",Amalia I.  Rusu
75949,SW 0407,01,3.000,Java for Programmers,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '09/14-12/14', 'location': 'BNW 129B'}]",Joseph   Corcoran
76552,SW 0407,02,3.000,Java for Programmers,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '09/01-12/16', 'location': 'BNW 166'}]",Jamie C.  Macbeth
76555,SW 0407,03,3.000,Java for Programmers,"[{'days': 'R', 'times': '0200pm-0430pm', 'dates': '09/03-12/10', 'location': 'BNW 166'}]",William F.  Guelakis
75950,SW 0409,01,3.000,Advanced Programming in Java,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '09/01-12/15', 'location': 'BNW 166'}]",Thomas   Galasso
77027,SW 0416,01,3.000,Mobile Application Development,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '09/01-12/07', 'location': 'BNW 163'}]",Bama   Govindaraja
75951,SW 0421,01,3.000,Software Project Management,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '09/01-12/07', 'location': 'BNW 124'}]",William F.  Guelakis
76736,SW 0508,01,3.000,Data Warehouse Systems,"[{'days': 'S', 'times': '0900am-1130am', 'dates': '09/01-12/15', 'location': 'BNW 254'}]",Frederick W.  Mis
75955,SW 0516,01,3.000,PHP/MySQL,"[{'days': 'T', 'times': '0200pm-0430pm', 'dates': '09/01-12/15', 'location': 'BNW 254A'}]",Wook-Sung   Yoo
76477,SW 0550,01,3.000,Capstone Professional Project I,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '09/01-12/10', 'location': 'BNW 334'}]",Wook-Sung   Yoo
76737,SW 0551,01,3.000,Capstone Professional Project II,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '09/01-12/18', 'location': 'BNW 340'}]",Wook-Sung   Yoo
77082,SW 0551,02,3.000,Capstone Professional Project II,"[{'days': 'M', 'times': '0400pm-0625pm', 'dates': '09/01-12/18', 'location': 'BNW 166'}]",Mark D.  Ramsey
76479,SW 0599,01,3.000,Information Security Measures and Countermeasures,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '09/14-12/14', 'location': 'BNW 166'}]",Mark D.  Ramsey
75367,SP 0110,A,3.000,Elementary Spanish I,"[{'days': 'MWR', 'times': '0200pm-0250pm', 'dates': '09/01-12/07', 'location': 'CNS 101'}]",Alina   Zuniga
