term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Spring2016,39030,SP 0360,A,3.000,Dictatorships and Revolutionary Movements in Contemporary Latin America,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/19-05/03', 'location': 'CNS 204'}]",['W 0200pm-0430pm 01/19-05/03 CNS 204'],Michelle Leigh  Farrell,15,13,2
Spring2016,39234,SP 0377,A,3.000,Internship,[],[],Jerelyn M.  Johnson,0,1,-1
Spring2016,37299,SP 0381,A,3.000,Coordinating Seminar,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/19-05/03', 'location': 'CNS 104'}]",['W 0200pm-0430pm 01/19-05/03 CNS 104'],Sergio   Adrada Rafael,15,7,8
Spring2016,37563,SE 0099,01,0.000,Comprehensive Examination in Special Education,"[{'days': 'S', 'times': '0900am-0100pm', 'dates': '03/19-03/19', 'location': 'CNS 304'}]",['S 0900am-0100pm 03/19-03/19 CNS 304'],Deborah L.  Edelman,20,17,3
Spring2016,37081,SE 0405,01,3.000,Exceptional Learners in the Mainstream,"[{'days': 'W', 'times': '0455pm-0655pm', 'dates': '01/20-05/11', 'location': 'CNS 303'}]",['W 0455pm-0655pm 01/20-05/11 CNS 303'],Diana   Friedlander,20,17,3
Spring2016,38331,SE 0411,01,3.000,Introduction to Individuals with Intellectual Disabilities,"[{'days': 'M', 'times': '0455pm-0655pm', 'dates': '01/25-05/09', 'location': 'CNS 104'}]",['M 0455pm-0655pm 01/25-05/09 CNS 104'],Alyson Margaret  Martin,20,20,0
Spring2016,37363,SE 0417,01,3.000,Introduction to Children and Youth with Social and Emotional Disturbances,"[{'days': 'T', 'times': '0455pm-0655pm', 'dates': '01/19-05/10', 'location': 'CNS 203'}]",['T 0455pm-0655pm 01/19-05/10 CNS 203'],Deborah L.  Edelman,20,18,2
Spring2016,37364,SE 0432,01,3.000,Management Techniques in Special Education,"[{'days': 'R', 'times': '0455pm-0655pm', 'dates': '01/21-05/12', 'location': 'CNS 203'}]",['R 0455pm-0655pm 01/21-05/12 CNS 203'],Daniel D.  French,20,12,8
Spring2016,37344,SE 0441,01,3.000,Parents and Families of Individuals with Disabilities,"[{'days': 'T', 'times': '0715pm-0915pm', 'dates': '01/19-05/10', 'location': 'CNS 203'}]",['T 0715pm-0915pm 01/19-05/10 CNS 203'],Deborah L.  Edelman,20,8,12
Spring2016,39135,SE 0529,01,3.000,Fundamentals of Reading and Language Development Part II,"[{'days': 'M', 'times': '0455pm-0915pm', 'dates': '01/25-03/21', 'location': 'CNS 10'}]",['M 0455pm-0915pm 01/25-03/21 CNS 10'],Jule J.  McCombes-Tolis,4,4,0
Spring2016,37067,SE 0537,01,3.000,Curriculum and Methods for Students with Mild to Moderate Disabilities,"[{'days': 'M', 'times': '0715pm-0915pm', 'dates': '01/25-05/09', 'location': 'CNS 104'}]",['M 0715pm-0915pm 01/25-05/09 CNS 104'],Alyson Margaret  Martin,10,5,5
Spring2016,37068,SE 0591,01,3.000,Practica in Special Education,[],[],Hildegard H.  Szokol,0,6,-6
Spring2016,39191,SE 0591,02,3.000,Practica in Special Education,"[{'days': 'W', 'times': '0455pm-0655pm', 'dates': '01/20-05/11', 'location': 'CNS 9'}]",['W 0455pm-0655pm 01/20-05/11 CNS 9'],David A.  Zera,0,2,-2
Spring2016,37069,SE 0592,01,3.000,Practica in Special Education,[],[],Hildegard H.  Szokol,2,7,-5
Spring2016,37262,SE 0593,01,6.000,Student Teaching in Special Education,"[{'days': 'W', 'times': '0455pm-0655pm', 'dates': '01/20-05/11', 'location': 'CNS 9'}]",['W 0455pm-0655pm 01/20-05/11 CNS 9'],David A.  Zera,0,4,-4
Spring2016,39192,SE 0593,02,6.000,Student Teaching in Special Education,"[{'days': 'W', 'times': '0455pm-0655pm', 'dates': '01/20-05/11', 'location': 'CNS 104'}]",['W 0455pm-0655pm 01/20-05/11 CNS 104'],Alyson Margaret  Martin,0,2,-2
